Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Mon Feb 4 2013,Oklahoma,64,Iowa State,83,,
Mon Feb 4 2013,Texas,58,West Virginia,60,,
Tue Feb 5 2013,Kansas State,68,Texas Tech,59,,
Wed Feb 6 2013,Baylor,67,Oklahoma State,69,OT,
Wed Feb 6 2013,Kansas,55,Texas Christian,62,,
Sat Feb 9 2013,Texas Tech,48,Baylor,75,,
Sat Feb 9 2013,Iowa State,70,Kansas State,79,,
Sat Feb 9 2013,Kansas,66,Oklahoma,72,,
Sat Feb 9 2013,Oklahoma State,72,Texas,59,,
Sat Feb 9 2013,West Virginia,63,Texas Christian,50,,
Mon Feb 11 2013,Kansas State,62,Kansas,83,,
Mon Feb 11 2013,Texas Christian,48,Oklahoma,75,,
Wed Feb 13 2013,West Virginia,60,Baylor,80,,
Wed Feb 13 2013,Iowa State,86,Texas,89,2OT,
Wed Feb 13 2013,Oklahoma State,91,Texas Tech,67,,
Sat Feb 16 2013,Texas Christian,53,Iowa State,87,,
Sat Feb 16 2013,Texas,47,Kansas,73,,
Sat Feb 16 2013,Baylor,61,Kansas State,81,,
Sat Feb 16 2013,Oklahoma,79,Oklahoma State,84,OT,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Feb 16 2013,Texas Tech,64,West Virginia,66,,
Mon Feb 18 2013,West Virginia,61,Kansas State,71,,
Tue Feb 19 2013,Texas,68,Texas Christian,59,,
Wed Feb 20 2013,Iowa State,87,Baylor,82,,
Wed Feb 20 2013,Kansas,68,Oklahoma State,67,2OT,
Wed Feb 20 2013,Oklahoma,86,Texas Tech,71,,
Sat Feb 23 2013,Texas Tech,66,Iowa State,86,,
Sat Feb 23 2013,Texas Christian,48,Kansas,74,,
Sat Feb 23 2013,Baylor,76,Oklahoma,90,,
Sat Feb 23 2013,Kansas State,81,Texas,69,,
Sat Feb 23 2013,Oklahoma State,73,West Virginia,57,,
Mon Feb 25 2013,Kansas,108,Iowa State,96,OT,
Mon Feb 25 2013,Texas Tech,55,Kansas State,75,,
Wed Feb 27 2013,Oklahoma,86,Texas,92,OT,
Wed Feb 27 2013,Oklahoma State,64,Texas Christian,47,,
Wed Feb 27 2013,Baylor,65,West Virginia,62,,
Sat Mar 2 2013,Kansas State,64,Baylor,61,,
Sat Mar 2 2013,West Virginia,65,Kansas,91,,
Sat Mar 2 2013,Iowa State,69,Oklahoma,86,,
Sat Mar 2 2013,Texas,65,Oklahoma State,78,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
