Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Tue Jan 14 2014,Kentucky,85,Arkansas,87,OT,
Tue Jan 14 2014,Georgia,50,Florida,72,,
Wed Jan 15 2014,Mississippi State,61,Alabama,80,,
Wed Jan 15 2014,Louisiana State,74,Mississippi,88,OT,
Wed Jan 15 2014,Auburn,67,Tennessee,78,,
Wed Jan 15 2014,South Carolina,67,Texas A&M,75,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Thu Jan 16 2014,Missouri,75,Vanderbilt,78,,
Sat Jan 18 2014,Florida,68,Auburn,61,,
Sat Jan 18 2014,Arkansas,61,Georgia,66,OT,
Sat Jan 18 2014,Tennessee,66,Kentucky,74,,
Sat Jan 18 2014,Vanderbilt,58,Louisiana State,81,,
Sat Jan 18 2014,Texas A&M,72,Mississippi State,81,OT,
Sat Jan 18 2014,Alabama,47,Missouri,68,,
Sat Jan 18 2014,Mississippi,75,South Carolina,74,,
Tue Jan 21 2014,Texas A&M,51,Kentucky,68,,
Tue Jan 21 2014,Missouri,71,Louisiana State,77,,
Wed Jan 22 2014,South Carolina,76,Georgia,97,,
Wed Jan 22 2014,Auburn,74,Mississippi State,82,,
Wed Jan 22 2014,Arkansas,74,Tennessee,81,,
Wed Jan 22 2014,Mississippi,63,Vanderbilt,52,,
Thu Jan 23 2014,Florida,68,Alabama,62,,
Sat Jan 25 2014,Louisiana State,80,Alabama,82,,
Sat Jan 25 2014,Auburn,67,Arkansas,86,,
Sat Jan 25 2014,Tennessee,41,Florida,67,,
Sat Jan 25 2014,Georgia,54,Kentucky,79,,
Sat Jan 25 2014,Mississippi State,63,Mississippi,82,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Jan 25 2014,South Carolina,74,Missouri,82,,
Sat Jan 25 2014,Vanderbilt,66,Texas A&M,55,,
Tue Jan 28 2014,Missouri,75,Arkansas,71,,
Tue Jan 28 2014,Kentucky,82,Louisiana State,87,,
Wed Jan 29 2014,Vanderbilt,59,Georgia,54,,
Wed Jan 29 2014,Texas A&M,52,South Carolina,80,,
Wed Jan 29 2014,Mississippi,70,Tennessee,86,,
Thu Jan 30 2014,Alabama,55,Auburn,74,,
Thu Jan 30 2014,Florida,62,Mississippi State,51,,
Sat Feb 1 2014,Tennessee,76,Alabama,59,,
Sat Feb 1 2014,Georgia,67,Auburn,74,,
Sat Feb 1 2014,Texas A&M,36,Florida,69,,
Sat Feb 1 2014,Arkansas,74,Louisiana State,88,,
Sat Feb 1 2014,South Carolina,71,Mississippi,75,,
Sat Feb 1 2014,Kentucky,84,Missouri,79,,
Sat Feb 1 2014,Mississippi State,49,Vanderbilt,55,,
Tue Feb 4 2014,Missouri,58,Florida,68,,
Tue Feb 4 2014,Mississippi,64,Kentucky,80,,
Wed Feb 5 2014,Alabama,58,Arkansas,65,,
Wed Feb 5 2014,Auburn,79,South Carolina,74,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Wed Feb 5 2014,Mississippi State,52,Texas A&M,72,,
Wed Feb 5 2014,Tennessee,60,Vanderbilt,64,,
Thu Feb 6 2014,Louisiana State,78,Georgia,91,,
